Hour,Buy Volume (MWh),Sell Volume (MWh),Volume (MWh),Price (â‚¬/MWh)
00-01,5968.7,10018.8,10018.8,83.0
01-02,5925.2,9556.3,9556.3,71.8
02-03,6108.3,8534.6,8534.6,69.07
03-04,6084.8,8089.8,8089.8,57.65
04-05,6331.2,8247.3,8247.3,51.22
05-06,7365.3,7559.4,7559.4,53.16
06-07,9095.0,10452.6,10452.6,76.08
07-08,9603.8,10727.8,10727.8,131.82
08-09,10827.6,11681.7,11681.7,136.77
09-10,10792.1,13342.5,13342.5,91.02
10-11,11580.2,14006.9,14006.9,47.26
11-12,13334.1,15962.2,15962.2,8.17
12-13,16664.3,18101.1,18101.1,11.92
13-14,17342.5,18669.1,18669.1,0.0
14-15,16575.4,17926.4,17926.4,-0.01
15-16,16429.0,17672.6,17672.6,0.0
16-17,14833.2,16442.4,16442.4,8.14
17-18,11504.4,13228.8,13228.8,34.29
18-19,9152.7,10542.3,10542.3,56.26
19-20,9599.7,11365.3,11365.3,83.08
20-21,8536.8,12158.8,12158.8,117.6
21-22,7771.8,14173.1,14173.1,123.49
22-23,7103.8,11242.6,11242.6,85.95
23-24,6815.2,9388.0,9388.0,69.22
