Date,Hour,Price (â‚¬/MWh)
2025-04-06,00-01,70.45
2025-04-06,01-02,46.21
2025-04-06,02-03,35.01
2025-04-06,03-04,27.01
2025-04-06,04-05,25.5
2025-04-06,05-06,25.57
2025-04-06,06-07,26.51
2025-04-06,07-08,28.87
2025-04-06,08-09,26.25
2025-04-06,09-10,0.1
2025-04-06,10-11,-2.0
2025-04-06,11-12,-27.49
2025-04-06,12-13,-59.82
2025-04-06,13-14,-106.48
2025-04-06,14-15,-115.46
2025-04-06,15-16,-70.55
2025-04-06,16-17,-19.15
2025-04-06,17-18,-0.01
2025-04-06,18-19,17.62
2025-04-06,19-20,50.94
2025-04-06,20-21,75.0
2025-04-06,21-22,80.0
2025-04-06,22-23,70.01
2025-04-06,23-24,66.38
2025-04-07,00-01,48.37
2025-04-07,01-02,41.9
2025-04-07,02-03,43.32
2025-04-07,03-04,39.54
2025-04-07,04-05,39.74
2025-04-07,05-06,46.22
2025-04-07,06-07,79.02
2025-04-07,07-08,159.86
2025-04-07,08-09,143.04
2025-04-07,09-10,85.7
2025-04-07,10-11,63.12
2025-04-07,11-12,35.14
2025-04-07,12-13,11.8
2025-04-07,13-14,3.34
2025-04-07,14-15,0.0
2025-04-07,15-16,0.0
2025-04-07,16-17,16.62
2025-04-07,17-18,40.35
2025-04-07,18-19,48.04
2025-04-07,19-20,74.16
2025-04-07,20-21,156.0
2025-04-07,21-22,136.34
2025-04-07,22-23,118.34
2025-04-07,23-24,99.84
2025-04-08,00-01,83.0
2025-04-08,01-02,71.8
2025-04-08,02-03,69.07
2025-04-08,03-04,57.65
2025-04-08,04-05,51.22
2025-04-08,05-06,53.16
2025-04-08,06-07,76.08
2025-04-08,07-08,131.82
2025-04-08,08-09,136.77
2025-04-08,09-10,91.02
2025-04-08,10-11,47.26
2025-04-08,11-12,8.17
2025-04-08,12-13,11.92
2025-04-08,13-14,0.0
2025-04-08,14-15,-0.01
2025-04-08,15-16,0.0
2025-04-08,16-17,8.14
2025-04-08,17-18,34.29
2025-04-08,18-19,56.26
2025-04-08,19-20,83.08
2025-04-08,20-21,117.6
2025-04-08,21-22,123.49
2025-04-08,22-23,85.95
2025-04-08,23-24,69.22
